ts_code,symbol,name,area,industry,list_date
SZ000530,000530,冰山冷热,辽宁,机械基件,19931208
SZ000531,000531,穗恒运A,广东,火力发电,19940106
SZ000532,000532,华金资本,广东,多元金融,19940103
SZ000533,000533,顺钠股份,广东,电气设备,19940103
SZ000534,000534,万泽股份,广东,生物制药,19940110
SZ000536,000536,华映科技,福建,元器件,19931126
SZ000537,000537,中绿电,天津,新型电力,19931210
SZ000538,000538,云南白药,云南,中成药,19931215
SZ000539,000539,粤电力A,广东,火力发电,19931126
SZ000541,000541,佛山照明,广东,家用电器,19931123
SZ000543,000543,皖能电力,安徽,火力发电,19931220
SZ000544,000544,中原环保,河南,环境保护,19931208
SZ000545,000545,金浦钛业,吉林,化工原料,19931215
SZ000546,000546,金圆股份,吉林,环境保护,19931215
SZ000547,000547,航天发展,福建,通信设备,19931130
SZ000548,000548,湖南投资,湖南,路桥,19931220
SZ000550,000550,江铃汽车,江西,汽车整车,19931201
SZ000551,000551,创元科技,江苏,专用机械,19940106
SZ000552,000552,甘肃能化,甘肃,煤炭开采,19940106
SZ000553,000553,安道麦A,湖北,农药化肥,19931203
SZ000554,000554,泰山石油,山东,石油贸易,19931215
SZ000555,000555,神州信息,深圳,软件服务,19940408
SZ000557,000557,西部创业,宁夏,铁路,19940617
SZ000558,000558,莱茵体育,四川,文教休闲,19940509
SZ000559,000559,万向钱潮,浙江,汽车配件,19940110
SZ000560,000560,我爱我家,云南,房产服务,19940202
SZ000561,000561,烽火电子,陕西,通信设备,19940509
SZ000563,000563,陕国投A,陕西,多元金融,19940110
SZ000564,000564,ST大集,陕西,百货,19940110
SZ000565,000565,渝三峡A,重庆,染料涂料,19940408
SZ000566,000566,海南海药,海南,化学制药,19940525
SZ000567,000567,海德股份,海南,多元金融,19940525
SZ000568,000568,泸州老窖,四川,白酒,19940509
SZ000570,000570,苏常柴A,江苏,农用机械,19940701
SZ000571,000571,新大洲A,海南,煤炭开采,19940525
SZ000572,000572,海马汽车,海南,汽车整车,19940808
SZ000573,000573,粤宏远A,广东,电气设备,19940815
SZ000576,000576,甘化科工,广东,食品,19940907
SZ000581,000581,威孚高科,江苏,汽车配件,19980924
SZ000582,000582,北部湾港,广西,港口,19951102
SZ000584,000584,ST工智,江苏,专用机械,19951128
SZ000586,000586,汇源通信,四川,通信设备,19951220
SZ000589,000589,贵州轮胎,贵州,汽车配件,19960308
SZ000590,000590,启迪药业,湖南,中成药,19960119
SZ000591,000591,太阳能,重庆,新型电力,19960208
SZ000592,000592,平潭发展,福建,林业,19960327
SZ000593,000593,德龙汇能,四川,供气供热,19960312
SZ000595,000595,宝塔实业,宁夏,机械基件,19960419
SZ000596,000596,古井贡酒,安徽,白酒,19960927
SZ000597,000597,东北制药,辽宁,化学制药,19960523
SZ000598,000598,兴蓉环境,四川,水务,19960529
SZ000599,000599,青岛双星,山东,汽车配件,19960430
SZ000600,000600,建投能源,河北,火力发电,19960606
SZ000601,000601,韶能股份,广东,水力发电,19960830
SZ000603,000603,盛达资源,北京,铅锌,19960823
SZ000605,000605,渤海股份,北京,供气供热,19960913
SZ000607,000607,华媒控股,浙江,广告包装,19960830
SZ000608,000608,阳光股份,广西,区域地产,19960919
SZ000609,000609,中迪投资,北京,区域地产,19961010
SZ000610,000610,西安旅游,陕西,旅游服务,19960926
SZ000612,000612,焦作万方,河南,铝,19960926
SZ000615,000615,*ST美谷,湖北,医疗保健,19961016
SZ000617,000617,中油资本,新疆,多元金融,19961022
SZ000619,000619,海螺新材,安徽,其他建材,19961023
SZ000620,000620,*ST新联,北京,全国地产,19961029
SZ000622,000622,恒立实业,湖南,批发业,19961107
SZ000623,000623,吉林敖东,吉林,中成药,19961028
SZ000625,000625,长安汽车,重庆,汽车整车,19970610
SZ000626,000626,远大控股,江苏,商贸代理,19961128
SZ000627,000627,天茂集团,湖北,保险,19961112
SZ000628,000628,高新发展,四川,建筑工程,19961118
SZ000629,000629,钒钛股份,四川,小金属,19961115
SZ000630,000630,铜陵有色,安徽,铜,19961120
SZ000631,000631,顺发恒业,浙江,综合类,19961122
SZ000632,000632,三木集团,福建,综合类,19961121
SZ000633,000633,合金投资,新疆,小金属,19961112
SZ000635,000635,英力特,宁夏,化工原料,19961120
SZ000636,000636,风华高科,广东,元器件,19961129
SZ000637,000637,ST实华,广东,石油加工,19961114
SZ000638,000638,万方发展,吉林,农业综合,19961126
SZ000639,000639,西王食品,山东,食品,19961126
SZ000650,000650,仁和药业,江西,中成药,19961210
SZ000651,000651,格力电器,广东,家用电器,19961118
SZ000652,000652,泰达股份,天津,批发业,19961128
SZ000655,000655,金岭矿业,山东,普钢,19961128
SZ000656,000656,金科股份,重庆,全国地产,19961128
SZ000657,000657,中钨高新,海南,小金属,19961205
SZ000659,000659,珠海中富,广东,广告包装,19961203
SZ000661,000661,长春高新,吉林,生物制药,19961218
SZ000663,000663,永安林业,福建,林业,19961206
SZ000665,000665,湖北广电,湖北,影视音像,19961210
SZ000668,000668,荣丰控股,山东,医药商业,19961210
SZ000669,000669,ST金鸿,吉林,供气供热,19961210
SZ000670,000670,盈方微,湖北,元器件,19961217
SZ000672,000672,上峰水泥,甘肃,水泥,19961218
SZ000676,000676,智度股份,广东,互联网,19961224
SZ000677,000677,恒天海龙,山东,化纤,19961226
SZ000678,000678,襄阳轴承,湖北,汽车配件,19970106
SZ000679,000679,大连友谊,辽宁,百货,19970124
SZ000680,000680,山推股份,山东,工程机械,19970122
SZ000681,000681,视觉中国,江苏,互联网,19970121
SZ000682,000682,东方电子,山东,电气设备,19970121
SZ000683,000683,远兴能源,内蒙,化工原料,19970131
SZ000685,000685,中山公用,广东,水务,19970123
SZ000686,000686,东北证券,吉林,证券,19970227
SZ000688,000688,国城矿业,四川,铅锌,19970120
SZ000690,000690,宝新能源,广东,火力发电,19970128
SZ000691,000691,亚太实业,甘肃,化工原料,19970228
SZ000692,000692,*ST惠天,辽宁,供气供热,19970227
SZ000695,000695,滨海能源,天津,广告包装,19970218
SZ000697,000697,*ST炼石,陕西,航空,19970325
SZ000698,000698,沈阳化工,辽宁,石油加工,19970220
SZ000700,000700,模塑科技,江苏,汽车配件,19970228
SZ000701,000701,厦门信达,福建,商贸代理,19970226
SZ000702,000702,正虹科技,湖南,饲料,19970318
SZ000703,000703,恒逸石化,广西,化纤,19970328
SZ000705,000705,浙江震元,浙江,医药商业,19970410
SZ000707,000707,双环科技,湖北,化工原料,19970415
SZ000708,000708,中信特钢,湖北,特种钢,19970326
SZ000709,000709,河钢股份,河北,普钢,19970416
SZ000710,000710,贝瑞基因,四川,医疗保健,19970422
SZ000711,000711,*ST京蓝,黑龙江,环境保护,19970411
SZ000712,000712,锦龙股份,广东,证券,19970415
SZ000713,000713,丰乐种业,安徽,种植业,19970422
SZ000715,000715,中兴商业,辽宁,百货,19970508
SZ000716,000716,黑芝麻,广西,食品,19970418
SZ000717,000717,中南股份,广东,普钢,19970508
SZ000718,000718,苏宁环球,吉林,区域地产,19970408
SZ000719,000719,中原传媒,河南,出版业,19970331
SZ000720,000720,新能泰山,山东,电气设备,19970509
SZ000721,000721,西安饮食,陕西,酒店餐饮,19970430
SZ000722,000722,湖南发展,湖南,其他建材,19970522
SZ000723,000723,美锦能源,山西,焦炭加工,19970515
SZ000725,000725,京东方A,北京,元器件,20010112
SZ000726,000726,鲁泰A,山东,纺织,20001225
SZ000727,000727,冠捷科技,江苏,元器件,19970520
SZ000728,000728,国元证券,安徽,证券,19970616
SZ000729,000729,燕京啤酒,北京,啤酒,19970716
SZ000731,000731,四川美丰,四川,农药化肥,19970617
SZ000733,000733,振华科技,贵州,元器件,19970703
SZ000735,000735,罗牛山,海南,农业综合,19970611
SZ000736,000736,中交地产,重庆,全国地产,19970425
SZ000737,000737,北方铜业,山西,铜,19970428
SZ000738,000738,航发控制,江苏,航空,19970626
